_id,count
United States,686
United Kingdom,223
Japan,156
South Korea,116
Canada,107
France,70
Taiwan,65
India,55
Australia,50
Spain,45
Mexico,45
China,36
Turkey,25
Germany,25
Colombia,23
Thailand,18
Brazil,18
Italy,15
Russia,14
Argentina,14
Singapore,13
Ireland,11
Egypt,9
Denmark,9
Israel,9
Norway,8
Belgium,8
New Zealand,8
Sweden,8
Lebanon,7
Malaysia,7
Netherlands,6
South Africa,5
Poland,5
Czech Republic,5
Chile,4
Pakistan,4
Hong Kong,4
Greece,3
Finland,3
Ukraine,2
West Germany,2
Indonesia,2
Azerbaijan,1
Kuwait,1
Cyprus,1
Saudi Arabia,1
Hungary,1
United Arab Emirates,1
Switzerland,1
Cuba,1
Croatia,1
Austria,1
Malta,1
Syria,1
Mauritius,1
Iceland,1
Philippines,1
Jordan,1
